#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T15:37:59 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T15:37:59	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/253/7&tab:{J/ApJS/253/7/table11}&key:source=J/ApJS/253/7/table11&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/253/7/table11
#-order=I
#-out=Cat
#-out=FName
#-out=m_PName
#-out=OName
#-out=f_FName
#-out=r_FName
#-out=SpTO
#-out=f_SpTO
#-out=r_SpTO
#-out=SpTIR
#-out=r_SpTIR
#-out=u_plx
#-out=plx
#-out=e_plx
#-out=pmtot
#-out=e_pmtot
#-out=AS
#-out=AS-flags
#-out=Teff
#-out=e_Teff
#-out=Note
#-out=PName
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_22530007
#Name: J/ApJS/253/7
#Title: A full-sky census of brown dwarfs within 20pc (Kirkpatrick+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apjs/253/7	
#INFO	publisher=CDS	
#INFO	creator=Kirkpatrick J.D.	
#INFO	related_resource=bibcode:2021ApJS..253....7K	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/253/7	
#INFO	publication_date=2023-10-24	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_ApJS_253_7_table11:
#Name: J/ApJS/253/7/table11
#Title: The full-sky 20-pc census of L, T, and Y dwarfs (known as of 2020 Oct)
#Column	Cat	(A7)	Catalog used for FName if any	[ucd=instr.setup;meta.table]
#Column	FName	(A19)	Full name, position-based identifier	[ucd=meta.id;meta.main]
#Column	m_PName	(A2)	Component ID on object	[ucd=meta.code.multip]
#Column	OName	(a21)	Other name	[ucd=meta.id]
#Column	f_FName	(A1)	Cross identification flags for Table A1 (1)	[ucd=meta.code]
#Column	r_FName	(a7)	Discovery Reference(s) (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SpTO	(a12)	Optical spectral type	[ucd=src.spType]
#Column	f_SpTO	(A1)	Flag on SpTO (2)	[ucd=meta.code]
#Column	r_SpTO	(A3)	Reference(s) for SpTO (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SpTIR	(a14)	Near-IR spectral type	[ucd=src.spType]
#Column	r_SpTIR	(a7)	Reference(s) for SpTIR (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	u_plx	(A1)	[:u ] Uncertainty flag (3)	[ucd=meta.code.error;pos.parallax]
#Column	plx	(F8.4)	[37.1/501.6]? Absolute parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F7.4)	[0.019/21.4]? Uncertainty in plx	[ucd=stat.error;pos.parallax]
#Column	pmtot	(F7.2)	[11.7/8151.6]? Total proper motion	[ucd=pos.pm]
#Column	e_pmtot	(F5.2)	[0.1/99.7]? Uncertainty in pmtot	[ucd=stat.error]
#Column	AS	(a6)	Source of the astrometry (see refs.dat file)	[ucd=meta.bib]
#Column	AS-flags	(A1)	Flags on astrometry (4)	[ucd=meta.code]
#Column	Teff	(I4)	[250/2338]? Effective surface temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I3)	[10/198]? Uncertainty in Teff	[ucd=stat.error;phys.temperature.effective]
#Column	Note	(a7)	Special note(s) (5)	[ucd=meta.note]
#Column	PName	(A9)	Short name position code for object (HHMM+DDMM; J2000) as in other tables; column added by CDS	[ucd=meta.id]
#Column	SimbadName	(a28)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from Simbad or names (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Simbad or names (declination part)	[ucd=pos.eq.dec;meta.main]
Cat;FName;m_PName;OName;f_FName;r_FName;SpTO;f_SpTO;r_SpTO;SpTIR;r_SpTIR;u_plx;plx;e_plx;pmtot;e_pmtot;AS;AS-flags;Teff;e_Teff;Note;PName;SimbadName;_RA;_DE
CWISE  ;J120502.74-180215.5;  ;                     ; ;0      ;            ; ;   ;T8            ;0      ;:; 52.3000;       ; 164.30; 3.60;0     ; ; 686; 79;       ;1205-1802;CWISE J120502.74-180215.5   ;181.26168;-18.03761
WISE   ;J120604.38+840110.6;  ;                     ; ;9      ;            ; ;   ;Y0            ;9      ; ; 84.7000; 2.1000; 634.60; 1.30;0     ; ; 454; 88;       ;1206+8401;WISE J120604.38+840110.6    ;181.51828;+84.01963
2MASSI ;J1213033-043243    ;  ;                     ; ;115    ;L5          ; ;115;L4.2          ;106    ; ; 59.4765; 1.0156; 369.70; 2.60;168   ; ;1617; 88;       ;1213-0432;2MASSI J1213033-043243      ;183.26393;-04.54549
SDSS   ;J121440.95+631643.4;  ;                     ; ;53     ;            ; ;   ;T4            ;124    ; ; 55.8000; 4.6000; 132.90; 2.30;0     ; ;1085; 88;       ;1214+6316;SDSS J121440.95+631643.4    ;183.67042;+63.27873
2MASSI ;J1217110-031113    ;  ;                     ; ;43     ;T7          ; ;197;T7.5          ;61     ; ; 91.7000; 2.2000;1057.10; 1.70;76,1  ; ; 885; 75;       ;1217-0311;2MASSI J1217110-031113      ;184.29626;-03.18699
WISEPC ;J121756.91+162640.2;A ;                     ; ;4      ;            ; ;   ;T9            ;212    ; ;107.4000; 3.5000;1460.10; 2.20;0     ; ; 566; 79;       ;1217+1626;WDS J12179+1627AB           ;184.48712;+16.44468
WISEPC ;J121756.91+162640.2;B ;                     ; ;4      ;            ; ;   ;Y0            ;212    ; ;107.4000; 3.5000;1460.10; 2.20;0     ; ; 460; 79;       ;1217+1626;WDS J12179+1627AB           ;184.48712;+16.44468
SDSS   ;J121951.45+312849.4;  ;                     ; ;53     ;            ; ;   ;L9.5          ;124    ; ; 52.0000; 3.8000; 254.10; 4.10;237   ; ;1332; 88;       ;1219+3128;SDSS J121951.45+312849.4    ;184.96484;+31.48048
2MASS  ;J12212770+0257198  ;  ;                     ; ;117    ;L0          ; ;117;L0.5          ;114    ; ; 53.9501; 0.2528; 151.70; 0.60;168   ; ;2149; 88;       ;1221+0257;2MASS J12212770+0257198     ;185.36547;+02.95549
WISE   ;J122152.28-313600.8;  ;                     ; ;8      ;            ; ;   ;T6.5          ;8      ; ; 76.8000; 2.2000; 715.20; 1.50;0     ; ; 898; 88;       ;1221-3136;WISE J122152.28-313600.8    ;185.46565;-31.60151
2MASS  ;J12255432-2739466  ;A ;                     ; ;43     ;            ; ;   ;T5.5          ;67     ; ; 76.0000; 2.5000; 736.80; 2.90;76,1  ; ;1044; 79;       ;1225-2739;WDS J12259-2740AB           ;186.47635;-27.66297
2MASS  ;J12255432-2739466  ;B ;                     ; ;67     ;            ; ;   ;T8            ;67     ; ; 76.0000; 2.5000; 736.80; 2.90;76,1  ; ; 686; 79;       ;1225-2739;WDS J12259-2740AB           ;186.47635;-27.66297
2MASS  ;J12314753+0847331  ;  ;                     ; ;3      ;T6          ; ;214;T5.5          ;61     ; ; 70.2000; 3.6000;1573.10; 4.30;237   ; ;1047; 88;       ;1231+0847;2MASS J12314753+0847331     ;187.94807;+08.79253
2MASS  ;J12373919+6526148  ;  ;                     ; ;43     ;T7          ; ;197;T6.5          ;61     ; ; 96.0700; 4.7800;1131.40; 8.90;68    ; ; 851; 74;       ;1237+6526;2MASS J12373919+6526148     ;189.41332;+65.43745
CWISEP ;J124138.41-820051.9;  ;                     ; ;232    ;            ; ;   ;[T8.5]        ;232    ; ; 69.1000; 3.8000; 280.80;11.50;0     ; ; 624; 79;       ;1241-8200;CWISEP J124138.41-820051.9  ;190.40288;-82.01458
WISE   ;J124309.61+844547.8;  ;                     ; ;20     ;            ; ;   ;T9            ;20     ; ; 54.5000; 3.1000; 746.70; 2.60;0     ; ; 601; 88;       ;1243+8445;WISE J124309.61+844547.8    ;190.79004;+84.76331
WISE   ;J124629.65-313934.2;  ;                     ; ;95     ;            ; ;   ;T1            ;8      ; ; 86.3432; 1.6050; 560.00; 3.80;168   ; ;1234; 88;       ;1246-3139;WISE J124629.65-313934.2    ;191.62356;-31.65790
WISE   ;J125015.56+262846.9;  ;                     ; ;8      ;            ; ;   ;T6.5          ;8      ; ; 57.5000; 3.7000; 738.40; 4.20;237   ; ; 889; 88;       ;1250+2628;WISE J125015.56+262846.9    ;192.56483;+26.47969
DENIS-P;J1253108-570924    ;  ;                     ; ;129    ;L0.5        ; ;129;              ;       ; ; 60.0190; 0.2612;1622.40; 0.40;168   ; ;1963; 88;       ;1253-5709;DENIS-P J1253108-570924     ;193.29567;-57.15690
SDSSp  ;J125453.90-012247.4;  ;                     ; ;96     ;T2          ; ;197;T2            ;124    ; ; 78.3400; 1.0700; 489.40; 0.20;172   ; ;1219; 94;       ;1254-0122;SDSSp J125453.90-012247.4   ;193.72460;-01.37983
WISE   ;J125715.90+400854.2;  ;                     ; ;8      ;            ; ;   ;T7            ;8      ; ; 57.0000; 1.8000; 339.40; 2.20;237   ; ; 857; 88;       ;1257+4008;WISE J125715.90+400854.2    ;194.31625;+40.14839
WISEA  ;J125721.01+715349.3;  ;                     ; ;233    ;            ; ;   ;[>=Y1]        ;233    ;:; 60.2000;       ; 932.10;19.10;0     ; ; 367; 79;       ;1257+7153;WISEA J125721.01+715349.3   ;194.33760;+71.89716
VHS    ;J125804.89-441232.4;  ;                     ; ;23     ;            ; ;   ;T6            ;23     ; ; 67.0000; 2.9000; 203.60; 2.60;0     ; ; 965; 79;       ;1258-4412;VHS J125804.89-441232.4     ;194.52043;-44.20904
WISEP  ;J130041.65+122114.6;  ;Gl 494C              ; ;45     ;            ; ;   ;T8            ;10     ; ; 86.8570; 0.1515; 633.20; 0.50;168   ;a; 721; 94;       ;1300+1221;WISEP J130041.65+122114.6   ;195.17535;+12.35418
2MASSW ;J1300425+191235    ;  ;                     ; ;142    ;L1          ; ;142;L3~(blue)     ;132,133; ; 71.6755; 0.2012;1488.50; 0.40;168   ; ;2044; 88;       ;1300+1912;2MASSW J1300425+191235      ;195.17712;+19.20961
WISE   ;J130141.62-030212.9;  ;                     ; ;8      ;            ; ;   ;T8.5          ;8      ; ; 54.5000; 4.5000; 377.00; 3.80;0     ; ; 679; 88;       ;1301-0302;WISE J130141.62-030212.9    ;195.42342;-03.03692
ULAS   ;J130217.21+130851.2;  ;                     ; ;31     ;            ; ;   ;T8            ;10     ; ; 65.0000; 5.0000; 445.00; 9.20;77    ; ; 640; 88;       ;1302+1308;ULAS J130217.21+130851.2    ;195.57169;+13.14754
2MASS  ;J13054019-2541059  ;  ;Kelu-1A              ; ;144    ;L3          ; ;146;L1.5-L3       ;145    ; ; 53.8492; 0.7107; 314.10; 1.40;168   ; ;1931;134;       ;1305-2541;2MASS J13054019-2541059     ;196.41735;-25.68492
2MASS  ;J13054019-2541059  ;  ;Kelu-1B              ; ;145    ;L3          ; ;146;L3-L4.5       ;145    ; ; 53.8492; 0.7107; 314.10; 1.40;168   ; ;1750;134;       ;1305-2541;2MASS J13054019-2541059     ;196.41735;-25.68492
2MASS  ;J13054106+2046394  ;  ;Gl 499C              ; ;115    ;L5          ; ;147;L6.5          ;106    ; ; 50.9035; 0.0435; 109.80; 0.10;168   ;a;1603;   ;       ;1305+2046;2MASS J13054106+2046394     ;196.42109;+20.77762
WISEPC ;J131106.24+012252.4;  ;                     ; ;4      ;            ; ;   ;T9:           ;4      ; ; 68.8000; 2.7000; 860.00; 1.30;1     ; ; 554; 88;       ;1311+0122;WISEP J131106.24+012252.4   ;197.77587;+01.38177
ULAS   ;J131508.42+082627.4;  ;                     ; ;64     ;            ; ;   ;T7.5          ;64     ; ; 50.5000; 5.7000; 118.90; 3.30;1     ; ; 590; 88;       ;1315+0826;ULAS J131508.42+082627.4    ;198.78508;+08.44093
2MASSI ;J1315309-264951    ;A ;                     ; ;98     ;L5.5        ; ;103;L5            ;213    ; ; 53.8729; 1.1265; 746.50; 2.40;168   ; ;1613;134;       ;1315-2649;WDS J13155-2650AB           ;198.87858;-26.83106
2MASSI ;J1315309-264951    ;B ;                     ; ;213    ;            ; ;   ;T7            ;213    ; ; 53.8729; 1.1265; 746.50; 2.40;168   ; ; 819; 79;       ;1315-2649;WDS J13155-2650AB           ;198.87858;-26.83106
CWISE  ;J131548.23-493645.4;  ;                     ; ;0      ;            ; ;   ;T3            ;0      ;:; 59.0000;       ; 181.20; 9.90;0     ; ;1199; 79;       ;1315-4936;CWISE J131548.23-493645.4   ;198.95070;-49.61245
WISE   ;J131833.98-175826.5;  ;                     ; ;8      ;            ; ;   ;T8            ;22     ; ; 63.5000; 2.2000; 526.00; 1.40;0     ; ; 719; 88;       ;1318-1758;WISE J131833.98-175826.5    ;199.64159;-17.97404
WISEPC ;J132004.16+603426.2;  ;                     ; ;4      ;            ; ;   ;T6.5          ;4      ; ; 60.6000; 2.5000; 561.30; 1.40;1     ; ; 901; 88;       ;1320+6034;WISEP J132004.16+603426.2   ;200.01735;+60.57397
WISEPA ;J132233.66-234017.1;  ;                     ; ;4      ;            ; ;   ;T8            ;4      ; ; 77.5000; 4.2000; 524.10; 1.90;1     ; ; 808; 88;       ;1322-2340;WISEP J132233.66-234017.1   ;200.64017;-23.67135
2MASS  ;J13243559+6358284  ;  ;                     ; ;24,188 ;            ; ;   ;T2:~pec       ;24     ; ; 99.7000; 5.6000; 371.50; 3.00;0     ; ;1051;197;yng    ;1324+6358;2MASS J13243553+6358281     ;201.14807;+63.97449
2MASSW ;J1326201-272937    ;  ;                     ; ;135    ;L5          ; ;135;L6.6:         ;106    ; ; 54.7000; 5.9000; 365.70; 7.40;237   ; ;1349; 88;       ;1326-2729;2MASSW J1326201-272937      ;201.58375;-27.49364
WISEA  ;J133300.03-160754.4;  ;                     ; ;1      ;            ; ;   ;T9            ;0      ; ; 52.8000; 3.5000; 354.50; 2.50;0     ; ; 689; 88;       ;1333-1607;WISEA J133300.03-160754.4   ;203.25021;-16.13175
ULAS   ;J133553.45+113005.2;  ;                     ; ;42     ;            ; ;   ;T8.5          ;10     ; ; 99.9000; 1.6000; 278.20; 1.20;67    ; ; 573; 88;       ;1335+1130;ULAS J133553.45+113005.2    ;203.97272;+11.50143
SDSSp  ;J134646.45-003150.4;  ;                     ; ;47     ;T7          ; ;197;T6.5          ;61     ; ; 69.2000; 2.3000; 516.00; 3.30;76,1  ; ;1011; 86;       ;1346-0031;SDSSp J134646.45-003150.4   ;206.69310;-00.53059
2MASS  ;J13480290-1344071  ;  ;LHS 2803B            ; ;230    ;            ; ;   ;T5.5          ;230    ; ; 54.9973; 0.0838; 857.90; 0.20;168   ;a; 939; 88;       ;1348-1344;2MASS J13480290-1344071     ;207.01212;-13.73532
WISE   ;J140035.40-385013.5;  ;                     ; ;8      ;            ; ;   ;T4            ;8      ; ; 61.7000; 3.6000; 231.50; 2.10;0     ; ;1031; 88;       ;1400-3850;WISE J140035.40-385013.5    ;210.14756;-38.83638
WISEPC ;J140518.40+553421.4;  ;                     ; ;10     ;            ; ;   ;Y0.5(pec?)    ;9,73   ; ;158.2000; 2.6000;2345.80; 1.60;0     ; ; 411; 88;       ;1405+5534;WISEP J140518.40+553421.4   ;211.32664;+55.57261
WISE   ;J140533.32+835030.5;  ;                     ; ;119    ;L8          ; ;119;L9            ;119    ; ;103.1218; 0.7054; 840.90; 1.70;168   ; ;1314; 88;       ;1405+8350;WISE J140533.32+835030.5    ;211.40511;+83.84021
CWISE  ;J141127.70-481153.4;  ;                     ; ;0      ;            ; ;   ;[T6.5]        ;0      ; ; 58.2000; 4.7000; 489.00;14.80;0     ; ; 890; 79;       ;1411-4811;CWISE J141127.70-481153.4   ;212.86620;-48.19766
ULAS   ;J141623.94+134836.3;  ;                     ; ;49     ;            ; ;   ;[(sd)T7.5]    ;62     ; ;107.5599; 0.2958; 154.90; 0.80;168   ;a; 656; 54;sd     ;1416+1348;ULAS J141623.94+134836.3    ;214.09976;+13.81009
SDSS   ;J141624.08+134826.7;  ;                     ; ;100,134;sdL7        ; ;133;sdL7          ;133    ; ;107.5599; 0.2958; 154.90; 0.80;168   ; ;1586; 88;sd     ;1416+1348;SDSS J141624.08+134826.7    ;214.10031;+13.80728
WISE   ;J142320.84+011638.0;  ;Gl 547B              ; ;50     ;            ; ;   ;sdT8,T8       ;50,8   ; ; 57.3445; 0.0362; 528.00; 0.10;168   ;a; 613; 88;sd     ;1423+0116;WISE J142320.84+011638.0    ;215.83662;+01.27728
DENIS-P;J142527.97-365023.4;  ;                     ; ;137    ;L3          ; ;150;L4{gamma}     ;175    ; ; 84.5181; 0.3435; 548.50; 0.80;168   ; ;1535; 53;yng    ;1425-3650;DENIS-P J142527.9-365023    ;216.36660;-36.83979
VHS    ;J143311.46-083736.3;  ;                     ; ;23     ;            ; ;   ;T8            ;23     ; ; 56.5000; 2.8000; 366.40; 1.90;0     ; ; 578; 88;       ;1433-0837;VHS J143311.46-083736.3     ;218.29759;-08.62680
WISEPA ;J143602.19-181421.8;  ;                     ; ;4      ;            ; ;   ;T8pec         ;4      ; ; 50.9000; 2.0000; 116.50; 1.30;0     ; ; 686; 79;       ;1436-1814;WISEP J143602.19-181421.8   ;219.00918;-18.23944
2MASSW ;J1439284+192915    ;  ;                     ; ;139    ;L1          ; ;139;L1            ;114    ; ; 69.7700; 0.4400;1295.00; 0.20;172   ; ;2121; 61;       ;1439+1929;2MASSW J1439284+192915      ;219.86729;+19.48775
       ;J144221+660320     ;  ;G 239-25B            ; ;116    ;            ; ;   ;L0            ;151    ; ; 91.4776; 0.0261; 301.60; 0.10;168   ;a;2338; 88;       ;1442+6603;G 239-25B                   ;220.59187;+66.05546
CWISEP ;J144606.62-231717.8;  ;                     ; ;232,231;            ; ;   ;[>=Y1]        ;232    ;u; 95.6000;13.9000;1211.30;54.50;0     ; ; 367; 79;[86.4] ;1446-2317;CWISEP J144606.62-231717.8  ;221.52740;-23.28863
WISE   ;J144806.48-253420.3;  ;                     ; ;20     ;            ; ;   ;T8            ;20     ; ; 54.8000; 2.1000; 757.10; 1.40;0     ; ; 626; 88;       ;1448-2534;WISE J144806.48-253420.3    ;222.02704;-25.57233
2MASSW ;J1448256+103159    ;  ;                     ; ;109    ;L5          ; ;117;L7            ;124    ; ; 71.2548; 0.7233; 251.30; 1.50;168   ; ;1623; 91;       ;1448+1031;2MASSW J1448256+103159      ;222.10683;+10.53307
       ;J145016+235441     ;  ;Gl 564B              ; ;152    ;            ; ;   ;L4            ;153    ; ; 54.9068; 0.0684; 148.00; 0.20;168   ;a;1722;134;       ;1450+2354;Gl 564B                     ;222.56667;+23.91161
       ;J145016+235441     ;  ;Gl 564C              ; ;152    ;            ; ;   ;L4            ;153    ; ; 54.9068; 0.0684; 148.00; 0.20;168   ;a;1722;134;       ;1450+2354;Gl 564C                     ;222.56667;+23.91161
DENIS-P;J1454078-660447    ;  ;                     ; ;129    ;L3.5        ; ;129;              ;       ; ; 93.2242; 0.3013; 597.70; 0.70;168   ; ;1793; 88;       ;1454-6604;DENIS-P J1454078-660447     ;223.53319;-66.07983
WISEPC ;J145715.03+581510.2;  ;                     ; ;4      ;T8          ; ;4  ;T7            ;4      ; ; 55.0000; 2.3000; 502.00; 1.10;1     ; ; 923; 88;       ;1457+5815;WISEP J145715.03+581510.2   ;224.31266;+58.25285
WISEA  ;J145715.83-212208.0;  ;Gl 570D              ; ;51     ;T7          ; ;197;T7.5          ;61     ; ;170.0112; 0.0851;2008.70; 0.20;168   ;a; 759; 63;       ;1457-2122;WISEA J145715.83-212208.0   ;224.31234;-21.36326
WISE   ;J150115.92-400418.4;  ;                     ; ;17     ;            ; ;   ;T6            ;6      ; ; 72.8000; 2.3000; 501.90; 1.80;0     ; ; 864; 88;       ;1501-4004;WISE J150115.92-400418.4    ;225.31635;-40.07178
2MASS  ;J15031961+2525196  ;  ;                     ; ;52     ;T6          ; ;197;T5            ;61     ; ;154.9208; 1.1025; 566.10; 3.00;168   ; ;1016; 85;       ;1503+2525;2MASS J15031961+2525196     ;225.83171;+25.42217
WISE   ;J150457.57+053759.8;  ;Gl 576B              ; ;54     ;            ; ;   ;T6pec         ;54     ; ; 52.5873; 0.0668; 791.10; 0.20;168   ;a; 875; 88;sd     ;1504+0537;WISE J150457.57+053759.8    ;226.24023;+05.63356
WISEPC ;J150649.97+702736.0;  ;                     ; ;4      ;T6          ; ;214;T6            ;4      ; ;193.5000; 0.6000;1587.30; 0.30;1     ; ; 921; 88;       ;1506+7027;WISEP J150649.97+702736.0   ;226.71850;+70.45699
2MASSW ;J1506544+132106    ;  ;                     ; ;142    ;L3          ; ;142;L4            ;124    ; ; 85.5810; 0.2883;1071.10; 0.60;168   ; ;2004; 75;       ;1506+1321;2MASSW J1506544+132106      ;226.72637;+13.35168
2MASSW ;J1507476-162738    ;  ;                     ; ;107    ;L5          ; ;107;L5            ;124    ; ;135.2332; 0.3274; 908.50; 0.90;168   ; ;1607; 70;       ;1507-1627;2MASSW J1507476-162738      ;226.94865;-16.46114
2MASSW ;J1515008+484742    ;  ;                     ; ;109    ;L6          ; ;134;L5.5          ;124    ; ;102.5900; 0.6300;1744.20; 0.20;172   ; ;1505; 74;       ;1515+4847;2MASSW J1515008+484742      ;228.75355;+48.79480
WISEPC ;J151906.64+700931.5;  ;                     ; ;4      ;            ; ;   ;T8            ;4      ; ; 78.5000; 2.6000; 594.00; 1.60;0     ; ; 612; 88;       ;1519+7009;WISEP J151906.64+700931.5   ;229.77766;+70.15875
2MASS  ;J15200224-4422419  ;A ;                     ; ;111    ;            ; ;   ;L1.5          ;154    ; ; 54.4581; 0.2465; 736.70; 0.60;168   ; ;2029;134;       ;1520-4422;WDS J15200-4423A            ;230.00911;-44.37849
2MASS  ;J15200224-4422419  ;B ;                     ; ;111    ;            ; ;   ;L4.5          ;154    ; ; 53.6580; 0.6308; 753.40; 1.80;168   ; ;1666;134;       ;1520-4422;WDS J15200-4423B            ;230.00934;-44.37818
SDSS   ;J152039.82+354619.8;  ;                     ; ;53     ;            ; ;   ;L7.5          ;124    ; ; 57.4000; 4.8000; 499.80; 7.60;237   ; ;1364; 88;       ;1520+3546;SDSS J152039.82+354619.8    ;230.16561;+35.77251
WISE   ;J152305.10+312537.6;  ;                     ; ;8      ;            ; ;   ;T6.5pec       ;8      ; ; 65.0000; 3.5000; 522.50; 2.50;0     ; ; 612; 88;sd     ;1523+3125;WISE J152305.10+312537.6    ;230.77128;+31.42712
2MASS  ;J15232263+3014562  ;  ;Gl 584C              ; ;105    ;L8          ; ;105;L7.5          ;124    ; ; 55.9800; 0.7800; 207.40; 0.60;173   ; ;1295; 76;       ;1523+3014;2MASS J15232263+3014562     ;230.84431;+30.24895
2MASSI ;J1526140+204341    ;  ;                     ; ;105    ;L7          ; ;105;L5.5          ;124    ; ; 50.0002; 1.4846; 421.60; 3.10;168   ; ;1518;157;       ;1526+2043;2MASSI J1526140+204341      ;231.55837;+20.72790
CWISE  ;J153143.38-330657.3;  ;                     ; ;0      ;            ; ;   ;[Y0]          ;0      ;:; 58.9000;       ; 309.30;54.80;0     ; ; 460; 79;       ;1531-3306;CWISE J153143.38-330657.3   ;232.93076;-33.11596
CWISE  ;J153347.50+175306.7;  ;                     ; ;0      ;            ; ;   ;[T8]          ;0      ;u; 51.3000; 7.0000; 222.20; 2.50;0     ; ; 686; 79;[53.2] ;1533+1753;CWISE J153347.50+175306.7   ;233.44781;+17.88553
2MASSI ;J1534498-295227    ;A ;                     ; ;32     ;            ; ;   ;T4.5          ;67     ; ; 74.5000; 1.2000; 268.80; 1.90;76    ;c;1172; 79;       ;1534-2952;WDS J15348-2952AB           ;233.70767;-29.87428
2MASSI ;J1534498-295227    ;B ;                     ; ;189    ;            ; ;   ;T5            ;67     ; ; 74.5000; 1.2000; 268.80; 1.90;76    ;c;1125; 79;       ;1534-2952;WDS J15348-2952AB           ;233.70767;-29.87428
DENIS-P;J153941.96-052042.4;  ;                     ; ;137    ;L3.5        ; ;112;L4            ;124    ; ; 58.8245; 0.4213; 599.40; 1.00;168   ; ;1753; 85;       ;1539-0520;DENIS J153941.8-052042      ;234.92468;-05.34521
WISEPA ;J154151.66-225025.2;  ;                     ; ;10     ;            ; ;   ;Y1            ;9      ; ;166.9000; 2.0000; 907.40; 1.30;0     ; ; 395; 88;       ;1541-2250;WISEP J154151.66-225025.2   ;235.46525;-22.84028
WISE   ;J154214.00+223005.2;  ;                     ; ;8      ;            ; ;   ;T9.5          ;8      ; ; 84.3000; 3.0000;1053.20; 1.80;0     ; ; 472; 88;       ;1542+2230;WISE J154214.00+223005.2    ;235.55833;+22.50145
2MASS  ;J15461461+4932114  ;  ;                     ; ;188    ;            ; ;   ;T3            ;124    ; ; 53.0000; 4.4000; 731.50; 4.00;0     ; ;1261; 88;       ;1546+4932;2MASS J15461461+4932114     ;236.56091;+49.53653
2MASSI ;J1546291-332511    ;  ;                     ; ;32     ;            ; ;   ;T5.5          ;124    ; ; 88.9000; 1.9000; 225.40; 2.20;76    ;c;1002; 84;       ;1546-3325;2MASSI J1546271-332511      ;236.61327;-33.41977
2MASSI ;J1553022+153236    ;A ;                     ; ;32     ;            ; ;   ;T6.5          ;61     ; ; 75.1000; 0.9000; 420.10; 0.70;67    ; ; 890; 79;       ;1553+1532;WDS J15531+1533AB           ;238.25950;+15.54359
2MASSI ;J1553022+153236    ;B ;                     ; ;32     ;            ; ;   ;T7.5          ;61     ; ; 75.1000; 0.9000; 420.10; 0.70;67    ; ; 751; 79;       ;1553+1532;WDS J15531+1533AB           ;238.25950;+15.54359
2MASSW ;J1555157-095605    ;  ;                     ; ;135    ;L1          ; ;135;L1.6          ;106    ; ; 73.6519; 0.1870;1218.30; 0.40;168   ; ;2102; 64;       ;1555-0956;2MASSW J1555157-095605      ;238.81573;-09.93501
WISE   ;J160018.05-454332.7;  ;                     ; ;16     ;            ; ;   ;[L9:]         ;0      ; ; 74.7951; 0.9190; 885.90; 2.90;168   ; ;1382; 88;       ;1600-4543;WISE J160018.05-454332.7    ;240.07712;-45.72370
WISEPA ;J161215.94-342027.1;  ;                     ; ;4      ;            ; ;   ;T6.5          ;4      ; ; 90.0000; 2.7000; 656.10; 1.40;0     ; ; 718; 88;       ;1612-3420;WISEP J161215.94-342027.1   ;243.06643;-34.34126
WISEPA ;J161441.45+173936.7;  ;                     ; ;4      ;            ; ;   ;T9            ;4      ; ; 98.2000; 2.7000; 728.60; 1.40;0     ; ; 510; 88;       ;1614+1739;WISEP J161441.45+173936.7   ;243.67277;+17.65986
2MASS  ;J16150413+1340079  ;  ;                     ; ;24     ;            ; ;   ;T6            ;24     ; ; 55.4000; 2.1000; 436.60; 1.40;0     ; ; 906; 87;       ;1615+1340;2MASS J16150413+1340079     ;243.76723;+13.66887
2MASSW ;J1615441+355900    ;  ;                     ; ;105    ;L3          ; ;105;L3.6          ;106    ; ; 50.0611; 0.3713; 529.50; 1.00;168   ; ;1793; 88;       ;1615+3559;2MASSW J1615441+355900      ;243.93398;+35.98321
WISEPA ;J161705.75+180714.3;  ;                     ; ;4      ;T8          ; ;4  ;T8            ;4      ; ; 78.0000; 3.1000; 101.90; 5.50;237   ; ; 618; 88;       ;1617+1807;WISEP J161705.75+180714.3   ;244.27392;+18.12061
